name,category,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
ChiefJoseph14,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph15,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph16,Hydro,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786,74.73999786
ChiefJoseph17,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph18,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph19,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph20,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph21,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph22,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph23,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph24,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph25,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph26,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
ChiefJoseph27,Hydro,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878,92.52999878
Chili_Bar_1,LCGS_CA_hydro,7.119999886,5.829999924,6.679999828,7.849999905,7.309999943,7.800000191,7.590000153,7.309999943,7.329999924,5.730000019,4.460000038,4.639999866
China_Creek_1,Hydro_ZeroK,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895
China_Creek_2,Hydro_ZeroK,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895,3.109999895
ChinChute_Hydro,Hydro_FixedDispatch,0.01,8.199999809,0.01,0.01,0.01,0.01,0.01,11.09000015,10.85999966,10.93999958,11.51000023,11.02999973
Clear_Lake_CA,LCGS_CA_hydro,1.090000033,0.930000007,0.879999995,0.889999986,1.200000048,1.190000057,1.470000029,1.940000057,1.99000001,1.919999957,1.679999948,1.25999999
Clear_Lake_ID,Hydro_ZeroK,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Clearwater1,Hydro,15,15,15,15,15,15,15,15,15,15,15,15
Clearwater2,Hydro,26,26,26,26,26,26,26,26,26,26,26,26
ClrSpringsTrout,Hydro_FixedDispatch,0.519999981,0.519999981,0.519999981,0.519999981,0.519999981,0.519999981,0.519999981,0.519999981,0.519999981,0.519999981,0.519999981,0.519999981
ClrwatrFishHtch,Hydro_FixedDispatch,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095,2.900000095
Cochrane_COC1,Hydro_ZeroK,32,32,32,32,32,32,32,32,32,32,32,32
Cochrane_COC2,Hydro_ZeroK,32,32,32,32,32,32,32,32,32,32,32,32
Coleman_1,LCGS_CA_hydro,10.27000046,7.559999943,11.59000015,12.22999954,11.88000011,11.65999985,12.25,13.01000023,12.92000008,11.86999989,8,7.400000095
Colgate_1,Hydro_FixedDispatch,99.90000153,138.3999939,152.7599945,176.0700073,86.12999725,102.5299988,166.2599945,186.8999939,185.3500061,183.75,168.8399963,127.1200027
Colgate_2,Hydro_FixedDispatch,99.30999756,137.5800018,151.8500061,175.0200043,85.61000061,101.9199982,165.2799988,185.7899933,184.25,182.6600037,167.8399963,126.3700027
Collierville1,Hydro,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25
