name,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Hoover_Dam_A8,1.059999943,1.059999943,1.059999943,1.059999943,1.059999943,1.059999943,1.059999943,1.059999943,1.059999943,1.059999943,1.059999943,1.059999943
Hoover_Dam_A9,1.179999948,1.179999948,1.179999948,1.179999948,1.179999948,1.179999948,1.179999948,1.179999948,1.179999948,1.179999948,1.179999948,1.179999948
Hoover_Dam_N1,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914
Hoover_Dam_N2,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914
Hoover_Dam_N3,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914
Hoover_Dam_N4,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914
Hoover_Dam_N5,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914
Hoover_Dam_N6,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914
Hoover_Dam_N7,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971
Hoover_Dam_N8,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914,2.839999914
Horse_Mesa_HM1,0,0,0,0,0,0,0,0,0,0,0,0
Horse_Mesa_HM2,0,0,0,0,0,0,0,0,0,0,0,0
Horse_Mesa_HM3,0,0,0,0,0,0,0,0,0,0,0,0
HorseshoBendHY1,0,0,0,0,0,0,0,0,0,0,0,0
HorseshoBendHY2,0,0,0,0,0,0,0,0,0,0,0,0
Horseshoe1_HY1,0,0,0,0,0,0,0,0,0,0,0,0
Horseshoe2_HY2,0,0,0,0,0,0,0,0,0,0,0,0
Horseshoe3_HY3,0,0,0,0,0,0,0,0,0,0,0,0
Horseshoe4_HY4,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt_QF,0,0,0,0,0,0,0,0,0,0,0,0
Hungry_Horse_1,7.630000114,7.869999886,7.769999981,7.670000076,7.610000134,7.559999943,7.510000229,7.46999979,7.78000021,7.96999979,7.989999771,7.949999809
Hungry_Horse_2,7.630000114,7.869999886,7.769999981,7.670000076,7.610000134,7.559999943,7.510000229,7.46999979,7.78000021,7.96999979,7.989999771,7.949999809
Hungry_Horse_3,7.630000114,7.869999886,7.769999981,7.670000076,7.610000134,7.559999943,7.510000229,7.46999979,7.78000021,7.96999979,7.989999771,7.949999809
Hungry_Horse_4,7.630000114,7.869999886,7.769999981,7.670000076,7.610000134,7.559999943,7.510000229,7.46999979,7.78000021,7.96999979,7.989999771,7.949999809
HutchinsnCreek1,0,0,0,0,0,0,0,0,0,0,0,0
Hystad_Creek_1,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986
Hystad_Creek_2,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986,0.639999986
Ice_Harbor_1,0,0,0,0,0,0,0,0,0,0,0,0
Ice_Harbor_2,0,0,0,0,0,0,0,0,0,0,0,0
Ice_Harbor_3,0,0,0,0,0,0,0,0,0,0,0,0
Ice_Harbor_4,0,0,0,0,0,0,0,0,0,0,0,0
Ice_Harbor_5,0,0,0,0,0,0,0,0,0,0,0,0
Ice_Harbor_6,0,0,0,0,0,0,0,0,0,0,0,0
Idylwilde_1,0,0,0,0,0,0,0,0,0,0,0,0
Idylwilde_2,0,0,0,0,0,0,0,0,0,0,0,0
IID_Drop_2_1,0,0,0,0,0,0,0,0,0,0,0,0
IID_Drop_2_2,0,0,0,0,0,0,0,0,0,0,0,0
IID_Drop_3_1,0,0,0,0,0,0,0,0,0,0,0,0
IID_Drop_3_2,0,0,0,0,0,0,0,0,0,0,0,0
IID_Drop_4_1,0,0,0,0,0,0,0,0,0,0,0,0
IID_Drop_4_2,0,0,0,0,0,0,0,0,0,0,0,0
IID_Drop_5_1,0,0,0,0,0,0,0,0,0,0,0,0
IID_Drop_5_2,0,0,0,0,0,0,0,0,0,0,0,0
IID_Drop1-1,0,0,0,0,0,0,0,0,0,0,0,0
IIDDrop1-2,0,0,0,0,0,0,0,0,0,0,0,0
IIDDrop1-3,0,0,0,0,0,0,0,0,0,0,0,0
