productionRank,Name,Power_Model_1_true_0_false_,lat_1_8_,lon_1_8_,nameplate_MW_,annualProduction_MWh_,lat,long,ROR,Units,Pump,Reservoir,alpha,Slope_NID,Slope_Grand,Head_NID_m_,Storage_m3_,ID,BA,HUC2
134,'Carmen_Smith_1',1,44.3125,-122.0625,114.3,191071,44.3125,-122.0625,0,3,0,1,0.05,0.002688854,0.009811558,5.1816,21600000,3067,BPAT,17
135,'Little_Falls_1',1,47.8125,-117.9375,32,190508,47.82971,-117.91845,1,4,0,0,0.05,0.005796752,9999,17.3736,5242290,3866,AVA,17
136,'Lookout_Point_1',1,43.9375,-122.8125,120,189327,43.91523,-122.75363,1,3,0,0,0.05,0.004103613,9999,73.7616,589233396,3083,BPAT,17
137,'LaGrande_1',1,46.8125,-122.3125,64,187164,46.7901,-122.2867,1,5,0,0,0.05,0.023302568,9999,64.008,8881056,3916,TPWR,17
138,'Baker_Station',1,38.0625,-120.4375,55.63,185992,38.040633,-120.457165,1,27,0,0,0.05,0.017213259,9999,10.0584,135682.8,-1,CIPV,18
139,'Oak_Grove_1',1,45.0625,-121.9375,51,182730,45.07468,-121.96987,1,2,0,0,0.05,0.017342584,9999,20.7264,493392,6505,PGE,17
140,'Toketee_Falls_1',1,43.3125,-122.4375,44.01,181962,43.288413,-122.437,1,3,0,0,0.05,0.008427933,9999,12.192,1296387.48,3040,PACW,17
141,'Cowlitz_Falls1',1,46.4375,-122.0625,70,178388,46.46654,-122.10982,0,2,0,1,0.05,9999,0.005551276,42.672,18500000,7427,BPAT,17
142,'Flatiron_1',1,40.4375,-105.0625,94.5,175615,40.42151,-105.07216,0,3,0,1,0.05,9999,0.001549193,18.288,74000000,518,WACM,10
143,'LostCreek_OR1',1,42.6875,-122.6875,49,174462,42.66519,-122.67617,0,2,0,1,0.05,9999,0.013555442,8.5344,616700000,6174,BPAT,17
144,'Chicago_Park_2P',1,39.1875,-120.8125,42,169173,39.156407,-120.840051,1,1,0,0,0.05,0.028326225,9999,17.0688,127048.44,412,CIPV,18
145,'FriantFR1',1,36.9375,-119.6875,40.59,166324,36.99911,-119.70461,0,4,0,1,0.05,9999,0.012522646,97.2312,535100000,50393,CIPV,18
146,'Alder11',1,46.8125,-122.3125,50,164032,46.798095,-122.334381,0,2,0,1,0.05,0.007550352,0.013039044,88.392,297509208.6,3913,TPWR,17
147,'Green_Peter_1',1,44.4375,-122.5625,80,163018,44.4583,-122.525,0,2,0,1,0.05,0.006932405,0.014846436,97.2312,530400000,3080,BPAT,17
