Generator,Data File,Multiplier
Lewiston_1,HY_Generic_2010[Keswick05].csv,Escalator0.00005
Libby_1,HY_Libby_2010[05].csv,Escalator0.0105
Libby_2,HY_Libby_2010[05].csv,Escalator0.0105
Libby_3,HY_Libby_2010[05].csv,Escalator0.0105
Libby_4,HY_Libby_2010[05].csv,Escalator0.0105
Libby_5,HY_Libby_2010[05].csv,Escalator0.0105
Longmont_1,HY_Generic_2010[Keswick05].csv,Escalator0.00003
Longmont_2,HY_Generic_2010[Keswick05].csv,Escalator0.00003
Lookout_Point_1,HY_LooktPnt_2010[05].csv,Escalator0.004
Lookout_Point_2,HY_LooktPnt_2010[05].csv,Escalator0.004
Lookout_Point_3,HY_LooktPnt_2010[05].csv,Escalator0.004
LOS_BANOS_QF,HY_Generic_2010[Keswick05].csv,Escalator0.000168
LostCreek_OR1,HY_LostCrk_2010[05].csv,Escalator0.00245
LostCreek_OR2,HY_LostCrk_2010[05].csv,Escalator0.00245
Lower_Granite_1,HY_LowrGrnt_2010[05].csv,Escalator0.0135
Lower_Granite_2,HY_LowrGrnt_2010[05].csv,Escalator0.0135
Lower_Granite_3,HY_LowrGrnt_2010[05].csv,Escalator0.0135
Lower_Granite_4,HY_LowrGrnt_2010[05].csv,Escalator0.0135
Lower_Granite_5,HY_LowrGrnt_2010[05].csv,Escalator0.0135
Lower_Granite_6,HY_LowrGrnt_2010[05].csv,Escalator0.0135
Lower_Malad_1,HY_Generic_2010[Keswick05].csv,Escalator0.00135
LowerMonumentl1,HY_LowrMnt_2010[05].csv,Escalator0.0135
LowerMonumentl2,HY_LowrMnt_2010[05].csv,Escalator0.0135
LowerMonumentl3,HY_LowrMnt_2010[05].csv,Escalator0.0135
LowerMonumentl4,HY_LowrMnt_2010[05].csv,Escalator0.0135
LowerMonumentl5,HY_LowrMnt_2010[05].csv,Escalator0.0135
LowerMonumentl6,HY_LowrMnt_2010[05].csv,Escalator0.0135
LowGap_QF,HY_Generic_2010[Keswick05].csv,Escalator0.00035
LowLineMdwy2SoForks2,HY_Generic_2010[Keswick05].csv,Escalator0.0004
LowLineMidway1,HY_Generic_2010[Keswick05].csv,Escalator0.00025
LytleCreek1,HY_Generic_2010[Keswick05].csv,Escalator0.00004
LytleCreek2,HY_Generic_2010[Keswick05].csv,Escalator0.00004
Malad_River_1,HY_Generic_2010[Keswick05].csv,Escalator0.000062
MamthPoolFshwtr,HY_Generic_2010[Keswick05].csv,Escalator0.000125
Marco_Ranch_1,HY_Generic_2010[Keswick05].csv,Escalator0.00003
Marco_Ranch_2,HY_Generic_2010[Keswick05].csv,Escalator0.00003
Marco_Ranch_3,HY_Generic_2010[Keswick05].csv,Escalator0.00003
Marco_Ranch_4,HY_Generic_2010[Keswick05].csv,Escalator0.00003
Maxwell_Hydro,HY_Generic_2010[Keswick05].csv,Escalator0.000007
McCall_QF,HY_Generic_2010[Keswick05].csv,Escalator0.000145
McNary01,HY_McNary_2010[05].csv,Escalator0.007
McNary02,HY_McNary_2010[05].csv,Escalator0.007
McNary03,HY_McNary_2010[05].csv,Escalator0.007
McNary04,HY_McNary_2010[05].csv,Escalator0.007
McNary05,HY_McNary_2010[05].csv,Escalator0.007
McNary06,HY_McNary_2010[05].csv,Escalator0.007
McNary07,HY_McNary_2010[05].csv,Escalator0.007
McNary08,HY_McNary_2010[05].csv,Escalator0.007
McNary09,HY_McNary_2010[05].csv,Escalator0.007
McNary10,HY_McNary_2010[05].csv,Escalator0.007
McNary11,HY_McNary_2010[05].csv,Escalator0.007
McNary12,HY_McNary_2010[05].csv,Escalator0.007
McNary13,HY_McNary_2010[05].csv,Escalator0.007
McNary14,HY_McNary_2010[05].csv,Escalator0.00805
McSwain_1,HY_MercedRiver_2010[05].csv,Escalator0.001
Merced_Falls_1,HY_MercedRiver_2010[05].csv,Escalator0.00035
Merwin_1,HY_Merwin_2010[05].csv,Escalator0.0045
Merwin_2,HY_Merwin_2010[05].csv,Escalator0.0045
Merwin_3,HY_Merwin_2010[05].csv,Escalator0.0045
MESA_QF,HY_Generic_2010[Keswick05].csv,Escalator0.0001
Metcalf_QF,HY_Generic_2010[Keswick05].csv,Escalator0.00008
MIddleFork1,HY_MiddleFork_2010[05].csv,Escalator0.006916
MIddleFork2,HY_MiddleFork_2010[05].csv,Escalator0.0062
MillCreek_OR,HY_Generic_2010[Keswick05].csv,Escalator0.00005
MillCreek1,HY_Generic_2010[Keswick05].csv,Escalator0.0001
MillCreek2_2,HY_Generic_2010[Keswick05].csv,Escalator0.0001
MillCreek2_3,HY_Generic_2010[Keswick05].csv,Escalator0.0001
MillCreek3_4,HY_Generic_2010[Keswick05].csv,Escalator0.0001
MillCreek3_5,HY_Generic_2010[Keswick05].csv,Escalator0.0001
Moccasin_1,HY_Moccasin_2010[05].csv,Escalator0.00575
Moccasin_2,HY_Moccasin_2010[05].csv,Escalator0.00575
Monticello_1,HY_Monticlo_2010[05].csv,Escalator0.000543
Monticello_2,HY_Monticlo_2010[05].csv,Escalator0.000543
Monticello_3,HY_Monticlo_2010[05].csv,Escalator0.000163
MoraDrop,HY_Generic_2010[Keswick05].csv,Escalator0.000185
Morrow_Point_1,HY_Morro_2010[05].csv,Escalator0.008667
Morrow_Point_2,HY_Morro_2010[05].csv,Escalator0.008667
