Ref ID,Plant/Unit (Short),Plant/Unit (Long),Bus #,ID,WECC Class Code,Status in GridView Model,Resource Modeling Category,TEPPC Area,TEPPC Region,County,State,Count for RPS?,Annual Energy (MWh),GV SubType,Generator Type,Primary Fuel,Hourly Profile,Hydro Region,Hydro Model,Nameplate (MW),SumCap (MW),WinCap (MW),Fuel Zone,"Commission Date","Retirement Date",Owner,"Ownership Shares","Confidential Location?","Latitude(Red=Confidential)","Longitude(Red=Confidential)",2022 PROMOD,PLANT_CODE,GENERATOR_ID,cooling,fuel E3,reported water source,waterpowercheck,
45,ACE-Cogen,ACE Cogeneration Facility-GEN1_AceTrona_McGen,24740,1,0 (Existing),TRUE,5.Dispatchable Thermal,CISC,CA-South,??,CA,No,708981,ST-Coal,Steam Turbine-Coal,Coal-Bit,N/A,N/A,N/A,96,96,96,Coal_CA_South,9/20/1990,12/31/2050,ACE Cogeneration Co,,No,35.76518,-117.375219,AceTrona,10002,GEN1,Recirculating,Coal,Groundwater,,
46,zyNTC-MCRDCC-CT,NTC-MCRD Energy Facility-GEN1_Point Loma,22660,1,0 (Existing),FALSE,7.Plant Parts,CISD,CA-South,San Diego,CA,No,0,CCPart-NatGas-Industrial,Combined Cycle-Gas Part-Industrial Frame,Gas-Natural Gas,None,N/A,N/A,22.3,22.3,22.3,NG_CA SDGE,1/1/1989,12/31/2050,Applied Energy Inc,,No,32.73733,-117.206035,??,10810,GEN1,Once-Through,Natural Gas,Municipal,,
47,zyNTC-MCRDCC-ST,NTC-MCRD Energy Facility-GEN2_Point Loma,22660,2,0 (Existing),FALSE,7.Plant Parts,CISD,CA-South,San Diego,CA,No,0,CCPart-Steam,Combined Cycle-Steam Part,Waste Heat,None,N/A,N/A,2.58,2.58,2.58,Waste_Heat,1/1/1989,12/31/2050,Applied Energy Inc,,No,32.73733,-117.206035,NTC MCRD QF,10810,GEN2,Once-Through,Natural Gas,Municipal,,
48,zyAftonCC-CT1,Afton Generating Station-1,10486,1,0 (Existing),FALSE,7.Plant Parts,PNM,AZ-NM-NV,Dona Ana,NM,No,0,CCPart-NatGas-Industrial,Combined Cycle-Gas Part-Industrial Frame,Gas-Natural Gas,None,N/A,N/A,170.1,170.1,170.1,NG_NM South,10/1/2007,12/1/2050,Public Service Co of NM,,No,32.108496,-106.832915,N/A,55210,1,Recirculating,Natural Gas,Groundwater,,
49,zyAftonCC-ST,Afton Generating Station-2,10485,1,0 (Existing),FALSE,7.Plant Parts,PNM,AZ-NM-NV,Dona Ana,NM,No,0,CCPart-Steam,Combined Cycle-Steam Part,Waste Heat,None,N/A,N/A,117.85,117.85,117.85,Waste_Heat,10/1/2007,12/1/2050,Public Service Co of NM,,No,32.108496,-106.832915,N/A,55210,2,Recirculating,Natural Gas,Groundwater,,
51,Aberfeldie2-1,Aberfeldie 2-1_Aberfeldie 2 (New redeveloped)-1_BCH-ABN,51180,1,0 (Existing),TRUE,3.PLFHTC Hydro,BCHA,British Columbia,??,BC,No,23208,Hydro,Hydro,Water,None,British Columbia,HTC,8,8,8,DefaultFuel,8/30/2008,3/31/2033,"British Columbia Hydro Auth., BCH ",,YES,Confidential,Confidential,BC Small Hydro,,,#N/A,#N/A,#N/A,#N/A,
52,Aberfeldie2-2,Aberfeldie 2-2_Aberfeldie 2 (New redeveloped)-2_BCH-ABN,51180,2,0 (Existing),TRUE,3.PLFHTC Hydro,BCHA,British Columbia,??,BC,No,23208,Hydro,Hydro,Water,None,British Columbia,HTC,8,8,8,DefaultFuel,8/30/2008,3/31/2033,"British Columbia Hydro Auth., BCH ",,YES,Confidential,Confidential,BC Small Hydro,,,#N/A,#N/A,#N/A,#N/A,
53,Aberfeldie2-3,Aberfeldie 2-3_Aberfeldie 2 (New redeveloped)-3_BCH-ABN,51180,3,0 (Existing),TRUE,3.PLFHTC Hydro,BCHA,British Columbia,??,BC,No,23208,Hydro,Hydro,Water,None,British Columbia,HTC,8,8,8,DefaultFuel,8/30/2008,3/31/2033,"British Columbia Hydro Auth., BCH ",,YES,Confidential,Confidential,BC Small Hydro,,,#N/A,#N/A,#N/A,#N/A,
54,AdelantoSolar,Adelanto Solar Project-1,24602,T5,0 (Existing),TRUE,1.Hourly Renewable,LDWP,CA-South,San Bernardino,CA,Yes,23154,SolarPV-NonTracking,SolarPV-Non-Tracking,Sun,PV-Fixed_CA_SW_2024[05],N/A,N/A,10,10,10,DefaultFuel,6/30/2012,12/31/2050,Los Angeles Department of Water & Power,,No,34.555554,-117.434613,??,57305,1,None,Biomass,Unknown Freshwater,,
55,AccionaAB,Acciona New Dayton Wind Energy Project-1,54153,E4,2 (Pre-Const Reg Approval-Review),TRUE,1.Hourly Renewable,AESO,Alberta,??,AB,Yes,305901,WT-Onshore,Wind-Onshore,Wind,WT-P_AB08_2024[05],N/A,N/A,99,99,99,DefaultFuel,1/30/2015,12/31/2050,??,,No,52.7669837,-114.023529,??,,,#N/A,#N/A,#N/A,,
